baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ergosterol_001_001_UMI_1	112.49579422254	-0.0112743353909303	0.00633996196036015	-1.77829700894448	0.0753550873513657	0.341879768493769
ergosterol_001_001_UMI_2	32.236488212674	0.0466079271961707	0.0145960264006287	3.19319285378678	0.00140708938645704	0.0365422643107879
ergosterol_001_001_UMI_4	38.4965994579817	0.00348554610337525	0.0102976078721367	0.338481145005187	0.735000633574846	0.902265233463642
ergosterol_001_001_UMI_13	30.305648171482	-0.0475835342083312	0.0112462627335367	-4.23105304719901	2.32599803571283e-05	0.00165275563028308
ergosterol_001_001_UMI_14	33.6837703984901	-0.00643534121850584	0.0104171535640545	-0.61776388136503	0.536730995476128	0.803026504856304
ergosterol_001_002_UMI_1	101.761926187339	-0.00611003350083224	0.00631322190236215	-0.967815419024969	0.333136561781244	0.661952456778254
ergosterol_001_002_UMI_2	144.048450947547	-0.00186847004256658	0.00487626259468999	-0.383176665793441	0.701588778124427	0.886388254681095
ergosterol_001_002_UMI_4	151.097332365755	-0.00769132300814804	0.00474519555027994	-1.62086534193397	0.105046521201782	0.401331042624599
ergosterol_001_002_UMI_6	98.225056455727	-0.0127083735500352	0.0062616022559251	-2.02957214952607	0.0424000482365196	0.260547489204717
ergosterol_001_002_UMI_13	90.2921275571836	0.000520283071705067	0.00722689471940121	0.0719926181169241	0.942607782498006	0.982492076526879
ergosterol_001_002_UMI_14	87.6059800571896	-0.00500780767318706	0.0064502992479114	-0.776368270791249	0.437531573413627	0.742773569923643
ergosterol_001_003_UMI_1	441.977550546898	0.00139364849132013	0.0027707347956275	0.502988771613743	0.614972166545765	0.847225601361086
ergosterol_001_003_UMI_2	559.303710726707	0.00460250616785637	0.00257182476839791	1.78958777612343	0.0735202050512814	0.338255202413725
ergosterol_001_003_UMI_4	503.860566437529	0.00443954317045652	0.00282368998914968	1.57224879059526	0.115892864169814	0.419266838679196
ergosterol_001_003_UMI_6	517.840273458032	-0.00120856900005799	0.00295937837890274	-0.40838610184957	0.682990235301208	0.878392905231281
ergosterol_001_003_UMI_13	275.154625211879	-0.000489777109579722	0.00387456235414254	-0.12640836946554	0.899408677422584	0.965966031367943
ergosterol_001_003_UMI_14	362.808312248306	0.00393900156818935	0.00324631665792556	1.21337564484742	0.224986233610196	0.562570564531675
ergosterol_001_004_UMI_1	68.3306968950992	0.0124113077623352	0.00751738694841435	1.65101355663926	0.0987358067627962	0.388576130511418
ergosterol_001_004_UMI_2	48.6779899060223	-0.0204541890082364	0.0102596697132891	-1.99364985226985	0.046190333267175	0.271463886187413
ergosterol_001_004_UMI_4	64.0557855683812	-0.00292008831550052	0.00712922336458998	-0.40959416842012	0.682103675468478	0.878099315717173
ergosterol_001_004_UMI_6	54.0192562736871	0.0010708350343775	0.00817241605288755	0.131030411012806	0.895751250285919	0.964551505187581
ergosterol_001_004_UMI_14	53.340532626424	0.0147171457116613	0.00890988855075235	1.65177663310037	0.0985800938441192	0.388197919386229
ergosterol_001_005_UMI_1	257.196915850637	0.000436654965024721	0.00446597611758163	0.0977736901246964	0.922111999500949	0.975279369104756
ergosterol_001_005_UMI_2	241.031882342127	-0.0068602066526488	0.00433078412524887	-1.58405647897644	0.113180867033938	0.414148158453899
ergosterol_001_005_UMI_4	400.932514541832	0.00473018971849621	0.00289572132299484	1.63350999315228	0.102361780718909	0.395811887729596
ergosterol_001_005_UMI_6	371.664200396128	0.00252291622687691	0.00343031637753228	0.735476250354452	0.462049498807584	0.759764856189057
ergosterol_001_005_UMI_13	292.155043883186	-0.00502999527468568	0.00358572138264562	-1.4027847503797	0.160681035754641	0.484794545177568
ergosterol_001_005_UMI_14	219.967066712075	-0.000712594470663333	0.00450252874544567	-0.158265390617245	0.874247678676175	0.95659194142377
ergosterol_001_006_UMI_1	48.1780066880665	0.0243075512433478	0.00937075218120972	2.59398080039822	0.00948717847087303	0.116541085663411
ergosterol_001_006_UMI_2	45.9634180820151	0.00552813436126382	0.00928931715095657	0.59510664470042	0.551772187321613	0.811275915852474
ergosterol_001_006_UMI_4	63.8379536588766	0.00116657516312878	0.0086040139975938	0.135584991313941	0.892149371072509	0.96287651488876
ergosterol_001_006_UMI_6	58.460794856436	-0.0048743667042251	0.00829028831487619	-0.587961059867904	0.556558430387927	0.814427946595838
ergosterol_001_006_UMI_14	45.7782887830047	0.0160189748961732	0.00909255162092337	1.7617689251619	0.0781083470507453	0.34921586043054
ergosterol_001_007_UMI_1	86.584734641558	-0.00214707695320021	0.007134326889012	-0.300950178846872	0.76345248575154	0.914841126741579
ergosterol_001_007_UMI_2	159.071374718989	0.00126235298425558	0.00455254891615402	0.27728488095456	0.78156136783879	0.922480997670822
ergosterol_001_007_UMI_4	111.212079887037	-0.00434705603475795	0.00573147604658733	-0.758453145302124	0.448179752587692	0.749738122786727
ergosterol_001_007_UMI_6	90.8137377139238	0.00274210300504145	0.00709718681294393	0.386364777666607	0.699226532069399	0.884983176663654
ergosterol_001_007_UMI_13	76.1543047582343	0.00181606748299589	0.00668707836416254	0.271578615367897	0.785946044113417	0.923979673375597
ergosterol_001_007_UMI_14	61.7525914934641	-0.00967714422700039	0.00852970906549177	-1.13452219210509	0.256575570269727	0.594943535323528
ergosterol_001_008_UMI_1	848.26593905896	-0.00254369541520398	0.0020401617378799	-1.24681066602462	0.212466928658246	0.549069774000186
ergosterol_001_008_UMI_2	1017.56692474149	-0.000853428106707932	0.00208364009258336	-0.409585182079035	0.682110268627262	0.878099315717173
ergosterol_001_008_UMI_4	1186.80605085028	0.00123062580079309	0.00195878367324301	0.628260189015989	0.529833506811858	0.798785340223626
ergosterol_001_008_UMI_6	1035.43348875599	0.000395156343760905	0.0021944513370723	0.180070679666152	0.85709708056285	0.951508056787416
ergosterol_001_008_UMI_13	489.677914813837	0.000988391320928193	0.00272634825341596	0.362533040190223	0.716953737827075	0.894014311692981
ergosterol_001_008_UMI_14	600.379554841464	-0.00778291527020319	0.00240509810453635	-3.23600740257685	0.00121214240633202	0.032927000832452
ergosterol_001_009_UMI_1	50.155864298745	-0.0171346109710665	0.00848719984766242	-2.01887681197772	0.0435000248727119	0.263120087157283
ergosterol_001_009_UMI_2	78.2512741454591	0.00121685447149922	0.0070197554042103	0.173347132689178	0.862378577894551	0.953392852812857
ergosterol_001_009_UMI_4	72.1673358077969	0.0137196452778903	0.00818611374281148	1.67596563020371	0.0937449249835271	0.379546811297423
ergosterol_001_009_UMI_6	35.3197584699789	-0.00150354857723007	0.0107156764727007	-0.140312987337805	0.888412703424784	0.96140538308536
ergosterol_001_009_UMI_13	60.2680203828747	-0.00744955487534197	0.00881308154252096	-0.84528377950433	0.397952415233418	0.714099300018518
ergosterol_001_009_UMI_14	55.7467080347815	-0.0111844520569267	0.00801957816336328	-1.39464343748426	0.163123389408816	0.488322704018811
ergosterol_001_010_UMI_1	667.107989972685	-0.00205912953914576	0.00243538977337586	-0.845503073740618	0.397830017237508	0.714099300018518
ergosterol_001_010_UMI_2	823.280627834512	0.00305891333133369	0.00225181914711541	1.35841874124401	0.174330850787477	0.502850357701003
ergosterol_001_010_UMI_4	842.63107171983	-0.00448843562005901	0.00214477514396337	-2.0927301552762	0.0363732497697154	0.239902793684727
ergosterol_001_010_UMI_6	836.40790412654	0.00127785237909814	0.0021291105154577	0.600181329161035	0.548385395399122	0.809783563632479
ergosterol_001_010_UMI_13	540.671851804522	-0.00415599029547653	0.00305410179252243	-1.36078971095591	0.173580154370338	0.501716492121144
ergosterol_001_010_UMI_14	595.580610078248	0.0024504993404876	0.00246407861943225	0.994489104837174	0.319984807058827	0.649630813422081
ergosterol_001_011_UMI_1	581.165081185255	-0.000190582482706148	0.00272799784364243	-0.0698616691176272	0.944303762166403	0.982492076526879
ergosterol_001_011_UMI_2	853.298158834701	-0.00218519589645157	0.00210320119596271	-1.03898566653835	0.298811402482551	0.63103316175577
ergosterol_001_011_UMI_4	860.336239673011	-0.00474107357794327	0.0021346028961733	-2.221056472116	0.0263471367212902	0.203968882661297
ergosterol_001_011_UMI_6	811.701294192943	-0.00263464036794833	0.00254585874735278	-1.03487295620304	0.300728245866337	0.632765723181063
ergosterol_001_011_UMI_13	494.753595843	-0.00416588694044207	0.00301855201782815	-1.38009446775723	0.167557560427154	0.495160051021122
ergosterol_001_011_UMI_14	598.874333559408	-0.00378280418854794	0.00271894932310721	-1.39127425303571	0.164142278218805	0.490068026534559
ergosterol_001_012_UMI_1	275.991135024859	-0.00266487310417567	0.00406610320865295	-0.655387472335832	0.512218315237236	0.789305133621778
ergosterol_001_012_UMI_2	336.017922440505	-0.00278374730684404	0.00331840816100358	-0.838880322064468	0.40153647126822	0.717420836775169
ergosterol_001_012_UMI_4	416.898866272314	-0.00977403720661598	0.00295769603234859	-3.30461179908836	0.000951080347114095	0.0282027890270742
ergosterol_001_012_UMI_6	333.235657161458	0.00136004534132508	0.00344047005859338	0.395308000989007	0.692615595344908	0.882047737319113
ergosterol_001_012_UMI_13	221.871188825176	0.00669612031520513	0.00394275951989188	1.69833343408901	0.0894448478309146	0.370454782543901
ergosterol_001_012_UMI_14	200.727128099138	-0.00579434614172131	0.0051076868005986	-1.13443646173493	0.256611511823621	0.594943535323528
ergosterol_001_013_UMI_1	143.247054334973	-0.00767714029048801	0.00511631202874545	-1.50052229953037	0.133479161569223	0.445489906449123
ergosterol_001_013_UMI_2	225.8782598594	-0.0035919378935671	0.00384474695784732	-0.934245590918739	0.350177223261794	0.67535752391164
