baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ergosterol_001_001_UMI_1	80.4007908777357	-0.00365204761063586	0.00709116784507971	-0.51501356200021	0.60654354303627	0.891621623114492
ergosterol_001_001_UMI_4	37.3508665373765	-0.00372141022630738	0.0113380564632819	-0.328222940003793	0.742743104140236	0.938013355634195
ergosterol_001_001_UMI_14	29.7002496399906	-0.0152283328378513	0.0116410889122382	-1.30815364032156	0.190821202746151	0.640811790215902
ergosterol_001_002_UMI_1	87.8319774846333	0.0133214039475895	0.00686792142476464	1.93965584689927	0.0524215288882024	0.381757435891677
ergosterol_001_002_UMI_2	116.198747568749	0.000814025802028965	0.0061419450125428	0.132535507948475	0.894560739453907	0.979484138378062
ergosterol_001_002_UMI_4	113.935808694499	0.0070904376880462	0.00608304452201365	1.16560673892603	0.243773481955699	0.687866930956146
ergosterol_001_002_UMI_6	71.5811926602483	-0.00647594178306044	0.0125618258241579	-0.515525519435751	0.606185841558555	0.891341808564938
ergosterol_001_002_UMI_13	73.6240472155682	-0.00446348134856756	0.00771228815207894	-0.578749297296987	0.562758347298365	0.875642376786942
ergosterol_001_002_UMI_14	70.8229378457458	-0.00150596498956974	0.00759841912568442	-0.198194514498315	0.842892879156608	0.965001594532157
ergosterol_001_003_UMI_1	388.904920809565	-0.00826857512392482	0.00334317549537117	-2.47326984041764	0.0133883011011714	0.186201194454556
ergosterol_001_003_UMI_2	465.766143353106	-0.00146641834378511	0.00313656452803624	-0.467523728805036	0.640125219245001	0.902482007367114
ergosterol_001_003_UMI_4	471.451319175042	0.00238387153800775	0.00298397891449267	0.79889020878455	0.424354076835859	0.808954386780262
ergosterol_001_003_UMI_6	416.092730384345	-0.000712494345136531	0.0031490524512312	-0.226256741089836	0.821001741589114	0.959908724757633
ergosterol_001_003_UMI_13	264.520956538708	0.00286812543941151	0.00393201076848942	0.729429701056839	0.465738855134693	0.828277741078414
ergosterol_001_003_UMI_14	322.009903463292	0.00645001196384594	0.00356261987745106	1.81046875213101	0.0702231258953042	0.43604630680964
ergosterol_001_004_UMI_1	68.8122278195642	0.00275594977285484	0.00800693905073578	0.34419517313568	0.730699512073759	0.933457380387507
ergosterol_001_004_UMI_2	37.9617229463494	0.0147469548870091	0.0111483701643965	1.32279020785523	0.185905154533461	0.636256224315979
ergosterol_001_004_UMI_4	57.1532553183389	0.0171160801366994	0.00881806478569078	1.94102453913402	0.0522553009745328	0.381249569797251
ergosterol_001_004_UMI_6	39.930839480603	-0.0105139122034351	0.0102747438443616	-1.02327730624689	0.306176750484312	0.734975623759034
ergosterol_001_004_UMI_13	37.6824244010449	0.0303657641261677	0.0109015024191957	2.78546598060638	0.00534508483969454	0.101930933034628
ergosterol_001_004_UMI_14	50.4836396417235	0.00311942520307117	0.0101515893609172	0.307284415490711	0.758626896879875	0.94179437738681
ergosterol_001_005_UMI_1	217.388585506503	-0.0064893192730885	0.00462289092187363	-1.40373618645936	0.160397422588453	0.604914267791779
ergosterol_001_005_UMI_2	216.293390985614	-0.00634288730057728	0.00431750077343914	-1.46911086608209	0.141802720975779	0.58029223807117
ergosterol_001_005_UMI_4	369.12236101962	0.00185358201424939	0.00347007280816788	0.53416228324847	0.593229261387236	0.886239851469712
ergosterol_001_005_UMI_6	301.500685169861	-0.00288590782349837	0.00377906249936069	-0.763657077380061	0.445071625755528	0.820208653678385
ergosterol_001_005_UMI_13	225.418747085248	0.00223325919725863	0.00435918690668316	0.512310952722576	0.608433400993739	0.89259715466654
ergosterol_001_005_UMI_14	178.780884754127	0.00317569305597905	0.00509700451528729	0.623050861825664	0.533251098951247	0.862150580571051
ergosterol_001_006_UMI_1	49.070266296973	-0.0107531009559978	0.00903894045475497	-1.18964175168796	0.234187228335417	0.677035913256308
ergosterol_001_006_UMI_2	38.3413715549453	-0.00183673537006589	0.011317424357791	-0.16229270123652	0.871075362056968	0.97339888175174
ergosterol_001_006_UMI_4	49.5323949336072	0.0130852147325444	0.00973179295308555	1.3445841681615	0.178759558828013	0.629115321457346
ergosterol_001_006_UMI_6	53.212270698061	-0.00173484804448818	0.00888226537052522	-0.195315943863272	0.84514561603865	0.96566465334985
ergosterol_001_006_UMI_14	53.4725569028131	0.0201843472636046	0.00879552793988352	2.29484203808599	0.021742178520432	0.247753796715593
ergosterol_001_007_UMI_1	88.802812401075	0.00896270377669778	0.00713771824644131	1.2556819234447	0.209231315644163	0.658679627457247
ergosterol_001_007_UMI_2	131.378994983425	-0.00590150546607256	0.00590901968498358	-0.998728347625899	0.317926304446205	0.743761372117579
ergosterol_001_007_UMI_4	110.712401381244	0.00724875402810214	0.00595344909546708	1.21757218578073	0.223386589494377	0.668385968536711
ergosterol_001_007_UMI_6	70.2206934166324	-0.0028910378502084	0.00760948209984206	-0.379925704834552	0.704000565807878	0.924498318658341
ergosterol_001_007_UMI_13	54.5513544888947	-0.00790378169498318	0.00905336776653681	-0.873021167238698	0.38265154037085	0.783753888411976
ergosterol_001_007_UMI_14	47.7590398131209	-0.0196744591046177	0.00951742736691573	-2.06720349377287	0.0387149831392311	0.330401675220996
ergosterol_001_008_UMI_1	712.150786621312	3.87879202898853e-05	0.00231285192256359	0.0167706025238712	0.986619622385915	0.997991672004807
ergosterol_001_008_UMI_2	893.993565517395	0.000586662486678581	0.00221361629495147	0.265024470598886	0.790990610828211	0.951354298815631
ergosterol_001_008_UMI_4	1013.01995919189	0.00393906899381206	0.00223246122263055	1.76445124953641	0.0776560361888711	0.456929400098292
ergosterol_001_008_UMI_6	876.203537201665	-0.00130691218105182	0.00219432260047566	-0.595587987276129	0.55145050365527	0.871193237837866
ergosterol_001_008_UMI_13	429.874916909641	0.00655710105602554	0.00301774137384617	2.1728505672666	0.0297915659879522	0.292732738905616
ergosterol_001_008_UMI_14	505.85941112311	-6.48989183351671e-05	0.00288293298621713	-0.0225114210581512	0.982040001622449	0.99707617366433
ergosterol_001_009_UMI_1	48.0350554322864	0.0156960578798413	0.00938915306232336	1.67172244138039	0.0945790667881808	0.493641170816367
ergosterol_001_009_UMI_2	65.7010739246142	-0.00509212228004687	0.00812060699704774	-0.62706178022137	0.530618738961942	0.861089927617186
ergosterol_001_009_UMI_4	67.0074712402121	0.0068744414546138	0.00786255729260575	0.874326405364167	0.381940523283147	0.783530601011226
ergosterol_001_009_UMI_6	35.0170007601764	-0.0256533461942202	0.0114860565796378	-2.23343373039777	0.0255203559125366	0.270653167487079
ergosterol_001_009_UMI_13	46.6722531644124	0.00913460137528812	0.00913889922018626	0.999529719630933	0.317538149541296	0.743761372117579
ergosterol_001_009_UMI_14	38.0743448412847	-0.00933528044394264	0.0113024132623373	-0.825954619359947	0.408829835122307	0.800666531672105
ergosterol_001_010_UMI_1	576.163500113201	0.00480753454827812	0.00284983873622072	1.68694968145937	0.0916130278765305	0.487470815284401
ergosterol_001_010_UMI_2	700.79884179747	0.00251270681503012	0.00236568502600638	1.06214766015235	0.288168656445615	0.722227224610935
ergosterol_001_010_UMI_4	764.371218941503	0.000824434157108841	0.00245805953382613	0.335400402538483	0.737323064344768	0.936005047410754
ergosterol_001_010_UMI_6	727.858170854762	-0.00178426782441908	0.00239043932217525	-0.746418370827098	0.455414725211059	0.825074998801896
ergosterol_001_010_UMI_13	459.041317234798	-0.00261006436415441	0.00292823844291914	-0.891342838034886	0.372745273654737	0.778136253212515
ergosterol_001_010_UMI_14	502.503430016747	0.00385041450942708	0.00295985337509868	1.30088015231454	0.193299480798387	0.642068725396087
ergosterol_001_011_UMI_1	490.841201777577	-0.00221723738050074	0.00290211603824045	-0.764007142128281	0.444862986433015	0.820208653678385
ergosterol_001_011_UMI_2	710.430734147756	-0.000407162176917282	0.00239529083281613	-0.169984442531592	0.865022371650897	0.972115055001183
ergosterol_001_011_UMI_4	691.383467680537	-0.000185563417621404	0.00270812924218179	-0.0685208869396149	0.945370993776006	0.990411844667629
ergosterol_001_011_UMI_6	661.105520698585	0.00325983053172157	0.00266830321365345	1.22168669401638	0.221826129996874	0.667468663970286
ergosterol_001_011_UMI_13	418.612418970615	-0.00474539557252234	0.00312413413270178	-1.51894744942288	0.128775724086948	0.558906941738463
ergosterol_001_011_UMI_14	537.704436461916	0.00139580550899641	0.00277391281541331	0.503190115147306	0.614830613897072	0.895244041639701
ergosterol_001_012_UMI_1	235.705011672546	0.00407791386612419	0.00416584106736383	0.97889328953798	0.327632708189945	0.748614863962637
ergosterol_001_012_UMI_2	260.890895060699	-0.0016209299780641	0.00391590501018503	-0.413934958546788	0.678921740934403	0.916096617130535
ergosterol_001_012_UMI_4	342.931106035853	-0.00367946666328118	0.00350075162516284	-1.05105047637021	0.293235407588033	0.726064917785536
ergosterol_001_012_UMI_6	303.904464993774	0.0048936447706077	0.00378271583862153	1.29368553689484	0.195774063109787	0.645054917182536
ergosterol_001_012_UMI_13	215.805861714545	0.00459534645654407	0.00463055578263796	0.992396306675344	0.321004239909711	0.746003750890809
ergosterol_001_012_UMI_14	178.736316446971	-0.00288673056378885	0.00474316955196981	-0.608607921804104	0.542784352379212	0.867040877588499
