baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gxe_084_001_UMI_2	29.4669304361452	0.00962701585831804	0.0116127950571055	0.829000753993979	0.407103980573802	0.659224836577904
gxe_084_002_UMI_1	147.409002824884	0.0173709621932846	0.00535202933527113	3.24567768693006	0.00117171416964521	0.0132013129780027
gxe_084_002_UMI_2	181.35905816834	0.00957003970671057	0.00479197643633221	1.99709657045716	0.0458146934301347	0.183814709256902
gxe_084_002_UMI_4	227.407789184781	0.001303874465751	0.00429549205459263	0.303544844031764	0.761474677874618	0.889098436944762
gxe_084_002_UMI_6	179.576910276717	0.00561274685102799	0.00501908712891315	1.11828041770683	0.263447247683217	0.51775530712844
gxe_084_002_UMI_13	80.4434238623663	0.016209736185829	0.00664981530710423	2.43762201463123	0.0147842239129998	0.0864744061362588
gxe_084_002_UMI_14	137.083829960454	-0.00604198766879474	0.00523117354186758	-1.15499660266245	0.248091817699562	0.498899538210686
gxe_084_003_UMI_1	243.516960188918	-0.0105109990015954	0.00401524929079379	-2.61776996653611	0.00885064469780738	0.0599262401414042
gxe_084_003_UMI_2	246.694119271	-0.00258960343018187	0.00387184054906041	-0.668830081551342	0.503603875307086	0.731377435172804
gxe_084_003_UMI_4	359.897265481841	0.00505055001078043	0.00323394321915573	1.56173119579352	0.118351326502518	0.326263870062309
gxe_084_003_UMI_6	360.744875781904	0.00587240408495218	0.00345176477388421	1.70127586021572	0.0888911987030585	0.275585559223545
gxe_084_003_UMI_13	86.0618189392655	-0.0121034422371235	0.00709937207745672	-1.70486095179554	0.0882203605097196	0.274386420439787
gxe_084_003_UMI_14	247.197496629384	0.00458360960323564	0.00393553989675857	1.16467110573846	0.244152149190996	0.493756118016133
gxe_084_004_UMI_4	29.5478695505916	0.0198001031295939	0.0118255322658272	1.67435196019136	0.0940614482413646	0.285017656337389
gxe_084_005_UMI_6	29.7412959430843	-0.0311988791547306	0.0114037280644539	-2.73584909938176	0.00622195508021427	0.0461458634533153
gxe_084_006_UMI_4	29.8855443610951	0.0232103886052244	0.0118292989243305	1.96211024454588	0.0497496504890189	0.19334815136051
gxe_084_006_UMI_6	33.1722790446536	0.0345228234681639	0.010290744601871	3.35474494837694	0.00079438189254415	0.00994816923829851
